"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
"Artwork Bench","2023-07-25T11:28:34007:00",-6.89483070373535,107.607490539551,9237089.64832059,788161.275074102,
"Artwork Paintings","2023-07-25T11:30:37007:00",-6.89546966552734,107.606971740723,9237019.25570686,788103.515910741,
"Artwork Paintings","2023-07-25T11:44:28007:00",-6.89562225341797,107.606826782227,9237002.45826416,788087.393040695,
"Artwork Paintings ","2023-07-25T11:31:52007:00",-6.89423036575317,107.607833862305,9237155.87299013,788199.605515475,
"Artwork Paintings ","2023-07-25T11:33:08007:00",-6.89418601989746,107.608131408691,9237160.6003052,788232.5373187,
"Artwork Paintings ","2023-07-25T11:33:42007:00",-6.8946418762207,107.608329772949,9237110.03614281,788254.198115435,
"Artwork Paintings ","2023-07-25T11:40:30007:00",-6.89501953125,107.608276367188,9237068.27784191,788248.063555702,
"Artwork Paintings ","2023-07-25T11:42:42007:00",-6.89563894271851,107.607391357422,9237000.27013107,788149.817790379,
"Artwork Statues","2023-07-25T11:30:02007:00",-6.89524984359741,107.607421875,9237043.30863181,788153.428059644,
"Barber Shop with empty wall","2023-07-25T11:34:22007:00",-6.89505577087402,107.608657836914,9237064.03690422,788290.227426536,
"Empty ally walls","2023-07-25T11:39:11007:00",-6.89636373519897,107.608322143555,9236919.50305282,788252.312273235,
"Empty Stall","2023-07-25T11:43:47007:00",-6.89575,107.60709,9236988.16295362,788116.424298659,
"Empty Wall","2023-07-25T11:24:31007:00",-6.89562225341797,107.606826782227,9237002.45826416,788087.393040695,
"Empty Wall","2023-07-25T11:25:05007:00",-6.89448881149292,107.608238220215,9237127.02936628,788244.166139746,
"Empty Wall","2023-07-25T11:29:08007:00",-6.89483070373535,107.607490539551,9237089.64832059,788161.275074102,
"Empty Wall","2023-07-25T11:29:21007:00",-6.89497756958008,107.607261657715,9237073.53480844,788135.874758059,
"Empty Wall","2023-07-25T11:30:12007:00",-6.89538049697876,107.607551574707,9237028.77236066,788167.692165537,
"Empty Wall","2023-07-25T11:31:00007:00",-6.89586114883423,107.607666015625,9236975.51515051,788180.057051369,
"Empty Wall","2023-07-25T11:31:21007:00",-6.89468336105347,107.608047485352,9237105.61622055,788222.955498945,
"Empty Wall","2023-07-25T11:32:05007:00",-6.89423036575317,107.607833862305,9237155.87299013,788199.605515475,
"Empty Wall","2023-07-25T11:32:29007:00",-6.89404439926147,107.607795715332,9237176.47475038,788195.499438089,
"Empty Wall","2023-07-25T11:32:42007:00",-6.8940110206604,107.607902526855,9237180.10378337,788207.331676493,
"Empty Wall","2023-07-25T11:32:57007:00",-6.8940110206604,107.607902526855,9237180.10378337,788207.331676493,
"Empty Wall","2023-07-25T11:35:11007:00",-6.89543628692627,107.609077453613,9237021.67584236,788336.401464436,
"Empty Wall","2023-07-25T11:35:47007:00",-6.89554452896118,107.609115600586,9237009.67489352,788340.55451185,
"Empty Wall","2023-07-25T11:38:43007:00",-6.89629983901978,107.608673095703,9236926.36137464,788291.161787378,
"Empty Wall","2023-07-25T11:39:34007:00",-6.89587497711182,107.607925415039,9236973.82806661,788208.734964886,
"Empty Wall","2023-07-25T11:40:16007:00",-6.89501953125,107.608276367188,9237068.27784191,788248.063555702,
"Empty Wall","2023-07-25T11:40:56007:00",-6.89533042907715,107.608276367188,9237033.87446964,788247.875402362,
"Empty Wall","2023-07-25T11:41:12007:00",-6.89571952819824,107.608009338379,9236990.97899307,788218.109897253,
"Empty Wall","2023-07-25T11:41:32007:00",-6.89599466323853,107.607872009277,9236960.61612615,788202.756535407,
"Empty Wall","2023-07-25T11:41:43007:00",-6.89603328704834,107.607788085938,9236956.39284372,788193.452308507,
"Empty Wall ","2023-07-25T11:41:53007:00",-6.89603328704834,107.607788085938,9236956.39284372,788193.452308507,
"Empty Wall for business","2023-07-25T11:39:25007:00",-6.89610004425049,107.608024597168,9236948.86257697,788219.567038442,
"Empty Wall for business ","2023-07-25T11:41:23007:00",-6.89571952819824,107.608009338379,9236990.97899307,788218.109897253,
"Empty wall of shop","2023-07-25T11:36:00007:00",-6.89692497253418,107.609344482422,9236856.77896906,788365.030075626,
"Empty Wall of shop","2023-07-25T11:38:57007:00",-6.89615821838379,107.608413696289,9236942.18977951,788262.561240654,
"Empty Wall School","2023-07-25T11:43:04007:00",-6.89580821990967,107.607261657715,9236981.61666786,788135.372234322,
"Empty Wall Store","2023-07-25T11:32:15007:00",-6.89404439926147,107.607795715332,9237176.47475038,788195.499438089,
"Empty Wall Store","2023-07-25T11:43:58007:00",-6.89575004577637,107.607093811035,9236988.15558401,788116.845722939,
"Empty Wall Store","2023-07-25T14:21:42007:00",-6.89670562744141,107.608734130859,9236881.42064217,788297.66582848,
"Entrance","2023-07-25T11:37:14007:00",-6.89690542221069,107.609031677246,9236859.131673,788330.449672569,
"Gang Stones","2023-07-25T11:12:43007:00",-6.8955720710076,107.606814547274,9237008.01874575,788086.07036545,
"Gang Stones","2023-07-25T11:43:37007:00",-6.89575004577637,107.607093811035,9236988.15558401,788116.845722939,
"Gang Stones Art","2023-07-25T11:44:38007:00",-6.89571380615234,107.606620788574,9236992.45174257,788064.557389669,
"Market","2023-07-25T11:34:37007:00",-6.89519739151001,107.608451843262,9237048.49002501,788267.361378621,
"Market","2023-07-25T11:36:54007:00",-6.89690542221069,107.609031677246,9236859.131673,788330.449672569,
"Market","2023-07-25T11:43:25007:00",-6.89580821990967,107.607261657715,9236981.61666786,788135.372234322,
"Orange Laundry ","2023-07-25T11:38:10007:00",-6.89641666412354,107.608375549316,9236913.61372975,788258.186229679,
"Painting Artwork","2023-07-25T11:42:12007:00",-6.89594745635986,107.607666015625,9236965.9645254,788180.004825384,
"Salon","2023-07-25T11:37:44007:00",-6.89673614501953,107.608795166016,9236878.00669302,788304.397058127,
"Seating and playing area","2023-07-25T11:28:22007:00",-6.89477205276489,107.60807800293,9237095.7833088,788226.276696635,
"Seating area","2023-07-25T11:26:56007:00",-6.89429340893183,107.608802747971,9237148.31082741,788306.714225156,
"Sewing Shop","2023-07-25T11:34:56007:00",-6.89519739151001,107.608451843262,9237048.49002501,788267.361378621,
"Shop with an empty wall","2023-07-25T11:39:45007:00",-6.89504146575928,107.608261108398,9237065.85983856,788246.362849471,
"Social Area","2023-07-25T11:29:32007:00",-6.89506387710571,107.607498168945,9237063.84119449,788161.97772179,
"Store Artwork","2023-07-25T11:30:26007:00",-6.89546966552734,107.606971740723,9237019.25570686,788103.515910741,
"Unused market space","2023-07-25T11:27:20007:00",-6.89448881149292,107.608238220215,9237127.02936628,788244.166139746,
"Very worn painted bridge","2023-07-25T11:28:54007:00",-6.89501667022705,107.607208251953,9237069.24029392,788129.945097284,
